Lattice	 Distance	 Free energy
4.800000	3.430165	-139.51109411
4.810000	3.430980	-139.74666916
4.820000	3.431008	-139.97065695
4.830000	3.431038	-140.18329994
4.840000	3.431099	-140.38444204
4.850000	3.431129	-140.57494693
4.860000	3.431164	-140.75402142
4.870000	3.431200	-140.92250748
4.880000	3.431240	-141.07996836
4.890000	3.431281	-141.22714799
4.900000	3.431326	-141.36385365
4.910000	3.431373	-141.49046923
4.920000	3.431422	-141.60686792
4.930000	3.431473	-141.71339019
4.940000	3.431354	-141.81019465
4.950000	3.431580	-141.89720365
4.960000	3.431773	-141.97499674
4.970000	3.431812	-142.04331328
4.980000	3.431853	-142.1025726
4.990000	3.431895	-142.15273967
5.000000	3.431937	-142.19415547
5.010000	3.431982	-142.22666211
5.020000	3.432029	-142.2509992
5.030000	3.432078	-142.26664707
5.040000	3.432129	-142.27419365
5.050000	3.432184	-142.27344023
5.060000	3.432242	-142.26465368
5.070000	3.432302	-142.24815773
5.080000	3.432367	-142.22369261
5.090000	3.432437	-142.19183323
5.100000	3.432508	-142.15249961
5.110000	3.432584	-142.1056226
5.120000	3.432667	-142.05165783
5.130000	3.432759	-141.99053769
5.140000	3.433979	-141.92222297
5.150000	3.455255	-141.84752637
5.160000	3.465817	-141.76582057
5.170000	3.468792	-141.67743602
5.180000	3.468609	-141.58244761
5.190000	3.466737	-141.48101175
5.200000	3.467254	-141.37304721
