Lattice	 Free energy
4.800000053550416	-74.06626805
4.80999983354719	-74.13338147
4.819999613543968	-74.19480423
4.830000259566142	-74.25067886
4.840000039562914	-74.30092393
4.849999819559687	-74.34606652
4.859999599556465	-74.38558558
4.870000245578639	-74.42001359
4.88000002557541	-74.44907839
4.8899998055721845	-74.47321861
4.899999585568962	-74.49233723
4.910000231591135	-74.50662218
4.920000011587907	-74.51599636
4.929999791584681	-74.52066468
4.933999703583392	-74.52125928
4.93999957158146	-74.52070432
4.950000217603631	-74.51606232
4.959999997600404	-74.50706609
4.969999777597178	-74.49350824
4.98000042361936	-74.47566587
4.990000203616129	-74.45347603
4.9999999836129	-74.42715984
