Lattice	 Free energy
2.400000026775208	-18.51077453
2.404999916773595	-18.52759984
2.409999806771984	-18.54298496
2.4149996967703746	-18.55705051
2.4199995867687667	-18.56964766
2.4250003427925533	-18.58094732
2.4300002327909356	-18.59082824
2.4350001227893197	-18.59950225
2.440000012787705	-18.60682194
2.4449999027860922	-18.61282365
2.449999792784481	-18.61763333
2.4549996827828715	-18.62126212
2.4599995727812636	-18.6236228
2.465000328805049	-18.6248281
2.4700002188034316	-18.62490031
2.4750001088018156	-18.62372997
2.479999998800202	-18.6215579
2.484999888798589	-18.61816035
2.4899997787969785	-18.61372909
2.494999668795369	-18.60827577
2.500000424819164	-18.60167976
