Lattice	 Distance	 Free energy
4.830000	3.488532	-140.5414757
4.840000	3.394541	-140.39304107
4.850000	3.394546	-140.58361685
4.860000	3.394554	-140.76277157
4.870000	3.394558	-140.93132921
4.880000	3.394575	-141.08885935
4.890000	3.394593	-141.23610001
4.900000	3.394619	-141.37285966
4.910000	3.394555	-141.49952733
4.920000	3.394597	-141.61596265
4.930000	3.394639	-141.72251596
4.940000	3.394658	-141.8193464
4.950000	3.394704	-141.90639565
4.960000	3.394751	-141.98423111
4.970000	3.394801	-142.05256826
4.980000	3.394858	-142.11185834
4.990000	3.394929	-142.16204698
5.000000	3.394992	-142.20348312
5.010000	3.395060	-142.23601065
5.020000	3.395132	-142.26037698
5.030000	3.395120	-142.2760365
5.040000	3.395161	-142.28361542
5.050000	3.395368	-142.28291341
5.060000	3.395454	-142.27416958
5.070000	3.395544	-142.25771705
5.080000	3.395637	-142.23330653
5.090000	3.395735	-142.20149757
5.100000	3.395872	-142.16222464
5.110000	3.395970	-142.1154155
5.120000	3.396068	-142.06152188
5.130000	3.396198	-142.00047827
5.140000	3.396327	-141.93220968
5.150000	3.396480	-141.85717151
5.160000	3.427572	-141.77627482
5.170000	3.429932	-141.68791402
5.180000	3.432000	-141.59303445
5.190000	3.432160	-141.49167111
5.200000	3.435688	-141.38380087
