Lattice	 Free energy
4.600	-52.70883416
4.610	-52.73621379
4.620	-52.76011603
4.630	-52.78074441
4.640	-52.79803201
4.650	-52.81205246
4.660	-52.82291207
4.670	-52.83057961
4.680	-52.83518893
4.690	-52.8366962
4.700	-52.83516731
4.710	-52.83067478
4.720	-52.8232369
