Lattice	 Distance	 Free energy
4.600000	3.415500	-124.48747058
4.610000	3.414660	-124.70550191
4.620000	3.424512	-124.91584307
4.630000	3.528537	-125.0939815
4.640000	3.528804	-125.28360131
4.650000	3.529056	-125.46332634
4.660000	3.529327	-125.63344499
4.670000	3.529639	-125.79379881
4.680000	3.500185	-125.96150167
4.690000	3.499369	-126.10408735
4.700000	3.530858	-126.21828902
4.710000	3.530899	-126.34094806
4.720000	3.548046	-126.46137018
4.730000	3.531838	-126.55870726
4.740000	3.532134	-126.65396662
4.750000	3.541674	-126.7423715
4.760000	3.533172	-126.81764214
4.770000	3.536703	-126.88655798
4.780000	3.547474	-126.9477179
4.790000	3.542937	-126.99824305
4.800000	3.545993	-127.04216418
4.810000	3.545206	-127.07595221
4.820000	3.543577	-127.10113235
4.830000	3.546591	-127.11844572
4.840000	3.543701	-127.12680718
4.850000	3.546463	-127.12755966
4.860000	3.547402	-127.1198519
4.870000	3.548870	-127.10426665
4.880000	3.545844	-127.08055113
4.890000	3.546871	-127.04939483
4.900000	3.549429	-127.01063281
4.910000	3.549851	-126.96446567
4.920000	3.549321	-126.91085489
4.930000	3.564621	-126.85044681
4.940000	3.551122	-126.78234758
4.950000	3.581737	-126.70811281
4.960000	3.582680	-126.62674039
4.970000	3.589279	-126.53847688
4.980000	3.584897	-126.44366543
4.990000	3.597018	-126.34260048
5.000000	3.596776	-126.23509036
