Lattice	 Distance	 Free energy
4.900	4.050	-141.19625348
4.900	4.100	-141.18533025
4.900	4.150	-141.1746329
4.900	4.200	-141.16419205
4.900	4.250	-141.15404934
4.900	4.300	-141.14422337
4.900	4.350	-141.1347109
4.900	4.400	-141.12553836
4.900	4.450	-141.11671335
4.950	2.800	-141.46446385
4.950	2.850	-141.55837885
4.950	2.900	-141.63528209
4.950	2.950	-141.69756062
4.950	3.000	-141.74731515
4.950	3.050	-141.7863751
4.950	3.100	-141.81632881
4.950	3.150	-141.83860053
4.950	3.200	-141.85447197
4.950	3.250	-141.86503591
4.950	3.300	-141.87118496
4.950	3.350	-141.87366806
4.950	3.400	-141.87311207
4.950	3.450	-141.87004126
4.950	3.500	-141.86490826
4.950	3.550	-141.85809643
4.950	3.600	-141.84995138
4.950	3.650	-141.84077805
4.950	3.700	-141.83082418
4.950	3.750	-141.82030263
4.950	3.800	-141.8094037
4.950	3.850	-141.79828089
4.950	3.900	-141.78704725
4.950	3.950	-141.77580816
4.950	4.000	-141.76463945
4.950	4.050	-141.75360175
4.950	4.100	-141.74274283
4.950	4.150	-141.73210827
4.950	4.200	-141.72173093
4.950	4.250	-141.71163123
4.950	4.300	-141.70183885
4.950	4.350	-141.69237088
4.950	4.400	-141.6832358
4.950	4.450	-141.67443932
5.000	2.800	-141.77213923
5.000	2.850	-141.86656447
5.000	2.900	-141.94408901
5.000	2.950	-142.00706613
5.000	3.000	-142.05751664
5.000	3.050	-142.09724803
5.000	3.100	-142.12786165
5.000	3.150	-142.15073232
5.000	3.200	-142.16707819
5.000	3.250	-142.17804685
5.000	3.300	-142.18458145
5.000	3.350	-142.18740646
5.000	3.400	-142.18715233
5.000	3.450	-142.18438598
5.000	3.500	-142.179542
5.000	3.550	-142.17298161
5.000	3.600	-142.165088
5.000	3.650	-142.15617053
5.000	3.700	-142.14644415
5.000	3.750	-142.13612324
5.000	3.800	-142.12543029
5.000	3.850	-142.11450702
5.000	3.900	-142.10343891
5.000	3.950	-142.09234928
5.000	4.000	-142.08134145
5.000	4.050	-142.07044776
5.000	4.100	-142.05970232
5.000	4.150	-142.04918542
5.000	4.200	-142.03893062
5.000	4.250	-142.02892801
5.000	4.300	-142.01921536
5.000	4.350	-142.00984075
5.000	4.400	-142.00079686
5.000	4.450	-141.99206435
5.050	2.800	-141.85685352
5.050	2.850	-141.9517939
5.050	2.900	-142.02994727
5.050	2.950	-142.09362078
5.050	3.000	-142.14478048
5.050	3.050	-142.18522056
5.050	3.100	-142.21654468
5.050	3.150	-142.24010567
5.050	3.200	-142.2570796
5.050	3.250	-142.2685996
5.050	3.300	-142.27561333
5.050	3.350	-142.27885628
5.050	3.400	-142.27898003
5.050	3.450	-142.27656678
5.050	3.500	-142.27206057
5.050	3.550	-142.26581793
5.050	3.600	-142.25822698
5.050	3.650	-142.24959745
5.050	3.700	-142.24014637
5.050	3.750	-142.23008543
5.050	3.800	-142.21964229
5.050	3.850	-142.2089614
5.050	3.900	-142.19811209
5.050	3.950	-142.18722876
5.050	4.000	-142.17641612
5.050	4.050	-142.16570534
5.050	4.100	-142.15512248
5.050	4.150	-142.14475931
5.050	4.200	-142.13465192
5.050	4.250	-142.12477852
5.050	4.300	-142.11518703
5.050	4.350	-142.1059321
5.050	4.400	-142.09700502
5.050	4.450	-142.08837481
5.100	2.800	-141.73676103
5.100	2.850	-141.83221913
5.100	2.900	-141.91099604
5.100	2.950	-141.9753481
5.100	3.000	-142.02722069
5.100	3.050	-142.068391
5.100	3.100	-142.10043705
5.100	3.150	-142.12471634
5.100	3.200	-142.14239592
5.100	3.250	-142.15456058
5.100	3.300	-142.162124
5.100	3.350	-142.16585048
5.100	3.400	-142.16641105
5.100	3.450	-142.16439332
5.100	3.500	-142.1602635
5.100	3.550	-142.15438177
5.100	3.600	-142.14712989
5.100	3.650	-142.13881853
5.100	3.700	-142.12967586
5.100	3.750	-142.11991256
5.100	3.800	-142.10974864
5.100	3.850	-142.09932706
5.100	3.900	-142.08872769
5.100	3.950	-142.07808319
5.100	4.000	-142.06748609
5.100	4.050	-142.05697936
5.100	4.100	-142.04659239
5.100	4.150	-142.0364077
5.100	4.200	-142.0264633
5.100	4.250	-142.01674794
5.100	4.300	-142.00730909
5.100	4.350	-141.99819044
5.100	4.400	-141.98939499
5.100	4.450	-141.98089409
5.150	2.800	-141.42827046
5.150	2.850	-141.52419984
5.150	2.900	-141.60355568
5.150	2.950	-141.66854823
5.150	3.000	-141.72111509
5.150	3.050	-141.7630096
5.150	3.100	-141.79578716
5.150	3.150	-141.82079947
5.150	3.200	-141.83920823
5.150	3.250	-141.85205559
5.150	3.300	-141.86022881
5.150	3.350	-141.86449089
5.150	3.400	-141.86553042
5.150	3.450	-141.86394353
5.150	3.500	-141.86020896
5.150	3.550	-141.85470773
5.150	3.600	-141.84781769
5.150	3.650	-141.83984296
5.150	3.700	-141.83102916
5.150	3.750	-141.8215886
5.150	3.800	-141.81172196
5.150	3.850	-141.80157511
5.150	3.900	-141.79124622
5.150	3.950	-141.78085628
5.150	4.000	-141.77048932
5.150	4.050	-141.76019835
5.150	4.100	-141.75002305
5.150	4.150	-141.74003115
5.150	4.200	-141.73025834
5.150	4.250	-141.72071545
5.150	4.300	-141.71144332
5.150	4.350	-141.70247582
5.150	4.400	-141.69382169
5.150	4.450	-141.68546525
5.200	2.800	-140.9468005
5.200	2.850	-141.04312722
5.200	2.900	-141.12298806
5.200	2.950	-141.18855663
5.200	3.000	-141.24177001
5.200	3.050	-141.28435695
5.200	3.100	-141.31784776
5.200	3.150	-141.34357712
5.200	3.200	-141.36270365
5.200	3.250	-141.37623492
5.200	3.300	-141.38504418
5.200	3.350	-141.38989271
5.200	3.400	-141.39145721
5.200	3.450	-141.39032823
5.200	3.500	-141.38700095
5.200	3.550	-141.38189619
5.200	3.600	-141.37537485
5.200	3.650	-141.36774544
5.200	3.700	-141.35926611
5.200	3.750	-141.35015465
5.200	3.800	-141.34059363
5.200	3.850	-141.33072971
5.200	3.900	-141.3206858
5.200	3.950	-141.31056039
5.200	4.000	-141.30043418
5.200	4.050	-141.29036718
5.200	4.100	-141.28041403
5.200	4.150	-141.27062031
5.200	4.200	-141.26102558
5.200	4.250	-141.2516613
5.200	4.300	-141.24256196
5.200	4.350	-141.23375301
5.200	4.400	-141.22524272
5.200	4.450	-141.2170403
5.250	2.800	-140.30643341
5.250	2.850	-140.40305575
5.250	2.900	-140.48333798
5.250	2.950	-140.54941954
5.250	3.000	-140.60323665
5.250	3.050	-140.64647917
5.250	3.100	-140.68064893
5.250	3.150	-140.70705899
5.250	3.200	-140.72686878
5.250	3.250	-140.74105585
5.250	3.300	-140.7504891
5.250	3.350	-140.75593406
5.250	3.400	-140.75805035
5.250	3.450	-140.75740465
5.250	3.500	-140.75450827
5.250	3.550	-140.74981357
5.250	3.600	-140.74367324
5.250	3.650	-140.73639848
5.250	3.700	-140.72825998
5.250	3.750	-140.71947978
5.250	3.800	-140.71022549
5.250	3.850	-140.70064813
5.250	3.900	-140.69088669
5.250	3.950	-140.6810242
5.250	4.000	-140.67113719
5.250	4.050	-140.6612958
5.250	4.100	-140.65156499
5.250	4.150	-140.64197196
5.250	4.200	-140.6325616
5.250	4.250	-140.62338465
5.250	4.300	-140.61446515
5.250	4.350	-140.60581763
5.250	4.400	-140.59745912
5.250	4.450	-140.5894099
