Lattice	 Distance	 Free energy
4.900000	3.536285	-125.67498832
4.900000	3.529549	-125.6749404
4.900000	3.533735	-125.6750537
4.900000	3.529352	-125.67538984
4.900000	3.520535	-125.67563862
4.950000	3.548819	-125.88089867
4.950000	3.535376	-125.88102646
4.950000	3.548857	-125.88084072
4.950000	3.554790	-125.88077495
4.950000	3.544810	-125.8810364
5.000000	3.543694	-125.89703806
5.000000	3.544003	-125.89709486
5.000000	3.544120	-125.89701173
5.000000	3.544743	-125.89707769
5.000000	3.547901	-125.89701749
5.050000	3.541933	-125.73606238
5.050000	3.553999	-125.73625509
5.050000	3.556383	-125.7362698
5.050000	3.561079	-125.73630589
5.050000	3.547855	-125.73611875
5.100000	3.553911	-125.40690873
5.100000	3.552961	-125.4068542
5.100000	3.561160	-125.40704636
5.100000	3.576808	-125.40720721
5.100000	3.566355	-125.40709549
