Lattice	 Distance	 Free energy
4.800000	3.777073	-124.60438995
4.810000	3.594021	-124.77140189
4.820000	3.698047	-124.89623139
4.830000	3.473438	-125.01153042
4.840000	3.401197	-125.13213739
4.850000	3.770437	-125.13264561
4.860000	3.638180	-125.3539356
4.870000	3.573531	-125.44490324
4.880000	3.469055	-125.5051245
4.890000	3.509135	-125.58658398
4.900000	3.445192	-125.64711969
4.910000	3.653946	-125.72144224
4.920000	3.617148	-125.76972887
4.930000	3.930799	-125.76486036
4.940000	3.665883	-125.83784066
4.950000	3.522513	-125.8721802
4.980000	5.558593	-125.63535586
4.990000	5.558586	-125.63357742
5.000000	5.558578	-125.62446315
5.010000	5.558567	-125.60791259
5.020000	3.561062	-125.85153897
5.040000	3.543985	-125.77917672
5.050000	3.622806	-125.73251865
5.060000	3.527303	-125.6771725
5.070000	3.637252	-125.61813899
5.080000	3.433318	-125.53288203
5.090000	3.619439	-125.4825785
5.100000	3.594783	-125.4045777
5.110000	3.577568	-125.3195364
5.120000	3.583834	-125.22873682
5.130000	4.336785	-125.00475617
5.140000	3.620292	-125.02106606
5.160000	3.570570	-124.7975786
5.180000	3.647916	-124.55995604
5.190000	3.808948	-124.41277306
5.200000	3.582885	-124.29248082
