Kpoints	 Free energy
1	-130.12534737
3	-142.00195757
5	-142.30138538
7	-142.29355233
9	-142.28885009
11	-142.29489972
17	-142.2939736
23	-142.29382745
25	-142.29383662
27	-142.29391489
29	-142.2938687
31	-142.29387069
33	-142.29392546
35	-142.29386317
37	-142.29389074
39	-142.2938959
41	-142.29387674
43	-142.29387792
47	-142.29388184
49	-142.2938808
51	-142.29389057
53	-142.29388169
55	-142.29388036
57	-142.29387102
59	-142.29388159
61	-142.29388051
